choice,dataset,num_points,sampling_mode,rre,rte,psnr,lpips,ssim,quality
VGGT,bonsai,500000,imagefps,0.7215,0.105749,17.610759735107422,0.4331241548061371,0.5586441159248352,0.29188980488439437
VGGT,bonsai,500000,random,0.7897,0.107121,17.64688491821289,0.4154469966888428,0.5641154646873474,0.3066702349144116
VGGT,bonsai,500000,voxels,0.7215,0.105749,17.621179580688477,0.4225020706653595,0.5687911510467529,0.30457354571774375
VGGT,bonsai,1000000,confidence,0.7897,0.107121,17.688114166259766,0.4190678596496582,0.5680431723594666,0.307495543986191
VGGT,bonsai,1000000,imagefps,0.7215,0.105749,17.569461822509766,0.4340345561504364,0.5553447008132935,0.28863357006535273
VGGT,bonsai,1000000,random,0.7897,0.107121,17.634593963623047,0.4154748320579529,0.5606600642204285,0.3044047402901801
VGGT,bonsai,1000000,voxels,0.7215,0.105749,17.607959747314453,0.42158353328704834,0.5656386017799377,0.3030521363078037
COLMAP,kitchen,92853,,0.1073,0.004456,21.259883880615234,0.14850512146949768,0.47112002968788147,0.4839732631063059
VGGT,kitchen,1000,confidence,0.3392,0.031011,19.901906967163086,0.4361690580844879,0.5011500716209412,0.2988166392740295
VGGT,kitchen,1000,imagefps,0.3392,0.031011,20.458948135375977,0.43128541111946106,0.5097875595092773,0.31719797586294796
VGGT,kitchen,1000,random,0.3392,0.031011,20.463869094848633,0.42407339811325073,0.5087069869041443,0.32110905081827656
VGGT,kitchen,1000,voxels,0.3392,0.031011,20.48218536376953,0.42395564913749695,0.5079407095909119,0.32107281014855765
VGGT,kitchen,5000,confidence,0.3392,0.031011,19.70030403137207,0.31724295020103455,0.4800899028778076,0.3561785411261521
VGGT,kitchen,5000,imagefps,0.3392,0.031011,20.199674606323242,0.31139081716537476,0.4875446856021881,0.37339809422681985
VGGT,kitchen,5000,random,0.3392,0.031011,20.134916305541992,0.3006927967071533,0.4842947721481323,0.37690204858315157
VGGT,kitchen,5000,voxels,0.3392,0.031011,20.15300941467285,0.3165923058986664,0.4865734577178955,0.3687551589737162
VGGT,kitchen,10000,confidence,0.3392,0.031011,19.881193161010742,0.292036771774292,0.47729477286338806,0.3734531302665874
VGGT,kitchen,10000,imagefps,0.3392,0.031011,20.140901565551758,0.281867116689682,0.4802972078323364,0.38629591995589996
VGGT,kitchen,10000,random,0.3392,0.031011,20.0959415435791,0.2761414051055908,0.48056063055992126,0.38915176520183375
VGGT,kitchen,10000,voxels,0.3392,0.031011,20.14318084716797,0.2885534167289734,0.4794343113899231,0.3817061653688714
VGGT,kitchen,20930,ba,0.4536,0.023341,19.084379196166992,0.265218585729599,0.45793238282203674,0.3639287168209703
VGGT,kitchen,50000,confidence,0.3392,0.031011,19.59734535217285,0.26738402247428894,0.4659231901168823,0.37676438745389595
VGGT,kitchen,50000,imagefps,0.3392,0.031011,19.732881546020508,0.2542702555656433,0.4648073613643646,0.38671670338021535
VGGT,kitchen,50000,random,0.3392,0.031011,19.844953536987305,0.24417081475257874,0.4666520357131958,0.3961050902735962
VGGT,kitchen,50000,voxels,0.3392,0.031011,19.576513290405273,0.2612842619419098,0.46731218695640564,0.380956171665043
VGGT,kitchen,100000,confidence,0.3392,0.031011,19.371234893798828,0.2700515389442444,0.463559627532959,0.36954834129687947
VGGT,kitchen,100000,imagefps,0.3392,0.031011,19.72393035888672,0.24947406351566315,0.46320921182632446,0.3885769626589237
VGGT,kitchen,100000,random,0.3392,0.031011,19.821290969848633,0.23921124637126923,0.462830513715744,0.39649354836397005
VGGT,kitchen,100000,voxels,0.3392,0.031011,19.858747482299805,0.24949823319911957,0.4662949740886688,0.39286319583247753
VGGT,kitchen,500000,confidence,0.3392,0.031011,19.340255737304688,0.2744143307209015,0.4567725658416748,0.3623125299453116
