method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
colmap,90,43,,13493,,farthestpose,90,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,20.418546676635742,0.3854271471500397,0.44172048568725586,1000000,0.004087999928742647,0.13849999010562897,13493,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s43_default_farthestpose_i90_gteval_poseopt_steps15000/stats/val_step14999.json,0.137,0.017387,colmap |  | Pose Opt,90.0
colmap,90,44,,13403,,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,20.39735221862793,0.39662352204322815,0.434491366147995,1000000,0.004355999641120434,0.13339997828006744,13403,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s44_default_farthestpose_i90_gteval_steps15000/stats/val_step14999.json,0.1334,0.017752,colmap |  | ,90.0
colmap,90,44,,13403,,farthestpose,90,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,20.51576042175293,0.383772611618042,0.44702598452568054,1000000,0.00395499961450696,0.13330000638961792,13403,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s44_default_farthestpose_i90_gteval_poseopt_steps15000/stats/val_step14999.json,0.1334,0.017752,colmap |  | Pose Opt,90.0
colmap,100,42,,16627,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,21.084463119506836,0.3635961413383484,0.49296194314956665,1000000,0.004348000045865774,0.10489999502897263,16627,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.1049,0.017545,colmap |  | ,100.0
colmap,100,42,,16627,,farthestpose,100,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,21.372501373291016,0.3530023992061615,0.5168636441230774,1000000,0.0042130001820623875,0.10330000519752502,16627,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,0.1049,0.017545,colmap |  | Pose Opt,100.0
colmap,100,43,,16447,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,21.233394622802734,0.3732696771621704,0.4943369925022125,1000000,0.004261999856680632,0.09889999032020569,16447,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s43_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.0989,0.017192,colmap |  | ,100.0
colmap,100,43,,16447,,farthestpose,100,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,21.69218635559082,0.35851967334747314,0.5342774987220764,1000000,0.004207000136375427,0.09860000014305115,16447,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s43_default_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,0.0989,0.017192,colmap |  | Pose Opt,100.0
colmap,100,44,,16589,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,20.920557022094727,0.3674790859222412,0.4831123948097229,1000000,0.004349999595433474,0.10239998996257782,16589,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s44_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.1024,0.017495,colmap |  | ,100.0
colmap,100,44,,16589,,farthestpose,100,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,21.256694793701172,0.3537333905696869,0.5099348425865173,1000000,0.004127999767661095,0.10409999638795853,16589,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s44_default_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,0.1024,0.017495,colmap |  | Pose Opt,100.0
vggt,10,42,0.0,11000,voxels,farthestpose,10,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999,15000,,MCMC,gsplat,13.776254653930664,0.604614794254303,0.17614418268203735,1000000,0.030797002837061882,1.569100022315979,10431,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,1.569,0.141985,vggt | voxels | ,10.0
